[{'rarity': 'N', 'index': 40}, {'rarity': 'N', 'index': 19}, {'rarity': 'R', 'index': 18}]
[{'rarity': 'N', 'index': 24}, {'rarity': 'N', 'index': 37}, {'rarity': 'R', 'index': 14}]
[{'rarity': 'N', 'index': 7}, {'rarity': 'R', 'index': 22}, {'rarity': 'R', 'index': 22}]
[{'rarity': 'N', 'index': 20}, {'rarity': 'N', 'index': 38}, {'rarity': 'R', 'index': 19}]
[{'rarity': 'N', 'index': 3}, {'rarity': 'N', 'index': 1}, {'rarity': 'SR', 'index': 7}]
[{'rarity': 'N', 'index': 29}, {'rarity': 'N', 'index': 18}, {'rarity': 'R', 'index': 27}]
[{'rarity': 'N', 'index': 38}, {'rarity': 'N', 'index': 19}, {'rarity': 'R', 'index': 18}]
[{'rarity': 'N', 'index': 4}, {'rarity': 'N', 'index': 1}, {'rarity': 'R', 'index': 21}]
[{'rarity': 'N', 'index': 39}, {'rarity': 'N', 'index': 33}, {'rarity': 'SR', 'index': 4}]
[{'rarity': 'N', 'index': 18}, {'rarity': 'N', 'index': 13}, {'rarity': 'R', 'index': 7}]
[{'rarity': 'N', 'index': 0}, {'rarity': 'N', 'index': 22}, {'rarity': 'R', 'index': 24}]
[{'rarity': 'N', 'index': 23}, {'rarity': 'N', 'index': 4}, {'rarity': 'R', 'index': 15}]
[{'rarity': 'N', 'index': 40}, {'rarity': 'N', 'index': 19}, {'rarity': 'R', 'index': 21}]
[{'rarity': 'N', 'index': 24}, {'rarity': 'N', 'index': 3}, {'rarity': 'R', 'index': 11}]
[{'rarity': 'N', 'index': 3}, {'rarity': 'N', 'index': 37}, {'rarity': 'SR', 'index': 10}]
[{'rarity': 'N', 'index': 8}, {'rarity': 'N', 'index': 3}, {'rarity': 'R', 'index': 13}]
[{'rarity': 'N', 'index': 35}, {'rarity': 'N', 'index': 2}, {'rarity': 'R', 'index': 8}]
[{'rarity': 'N', 'index': 2}, {'rarity': 'N', 'index': 5}, {'rarity': 'R', 'index': 7}]
[{'rarity': 'N', 'index': 6}, {'rarity': 'N', 'index': 28}, {'rarity': 'R', 'index': 6}]
[{'rarity': 'N', 'index': 17}, {'rarity': 'N', 'index': 4}, {'rarity': 'R', 'index': 4}]
[{'rarity': 'N', 'index': 7}, {'rarity': 'N', 'index': 36}, {'rarity': 'R', 'index': 26}]
[{'rarity': 'N', 'index': 17}, {'rarity': 'N', 'index': 1}, {'rarity': 'R', 'index': 19}]
[{'rarity': 'N', 'index': 25}, {'rarity': 'N', 'index': 9}, {'rarity': 'R', 'index': 5}]
[{'rarity': 'N', 'index': 21}, {'rarity': 'N', 'index': 30}, {'rarity': 'R', 'index': 19}]
[{'rarity': 'N', 'index': 24}, {'rarity': 'N', 'index': 30}, {'rarity': 'R', 'index': 18}]
[{'rarity': 'N', 'index': 8}, {'rarity': 'N', 'index': 13}, {'rarity': 'R', 'index': 14}]
[{'rarity': 'N', 'index': 15}, {'rarity': 'R', 'index': 13}, {'rarity': 'R', 'index': 8}]
[{'rarity': 'N', 'index': 22}, {'rarity': 'N', 'index': 10}, {'rarity': 'UR', 'index': 2}]
